Time	Node	PitItems
1	1	Rtr2	191
2	1	Rtr2	134
3	1	Rtr2	515
4	1	Rtr2	909
5	1	Rtr2	815
6	1	Rtr2	810
7	1	Rtr2	419
8	1	Rtr2	19
9	1	Rtr2	13
10	1	Rtr2	9
11	1	Rtr2	12
12	1	Rtr2	9
13	1	Rtr2	11
14	1	Rtr2	10
15	1	Rtr2	5
16	1	Rtr2	9
17	1	Rtr2	8
18	1	Rtr2	12
19	1	Rtr2	9
20	1	Rtr2	4
21	1	Rtr2	9
22	1	Rtr2	10
23	1	Rtr2	9
24	1	Rtr2	407
25	1	Rtr2	809
26	1	Rtr2	813
27	1	Rtr2	817
28	1	Rtr2	414
29	1	Rtr2	11
30	1	Rtr2	9
31	1	Rtr2	6
32	1	Rtr2	7
33	1	Rtr2	8
34	1	Rtr2	9
35	1	Rtr2	9
36	1	Rtr2	6
37	1	Rtr2	6
38	1	Rtr2	7
39	1	Rtr2	6
40	1	Rtr2	8
41	1	Rtr2	11
42	1	Rtr2	5
43	1	Rtr2	11
44	1	Rtr2	9
45	1	Rtr2	417
46	1	Rtr2	821
47	1	Rtr2	823
48	1	Rtr2	825
49	1	Rtr2	422
50	1	Rtr2	11
51	1	Rtr2	6
52	1	Rtr2	8
53	1	Rtr2	11
54	1	Rtr2	12
55	1	Rtr2	10
56	1	Rtr2	183
57	1	Rtr2	121
58	1	Rtr2	121
59	1	Rtr2	122
60	1	Rtr2	13
61	1	Rtr2	9
62	1	Rtr2	9
63	1	Rtr2	7
64	1	Rtr2	11
65	1	Rtr2	10
66	1	Rtr2	415
67	1	Rtr2	831
68	1	Rtr2	834
69	1	Rtr2	835
70	1	Rtr2	425
71	1	Rtr2	16
72	1	Rtr2	9
73	1	Rtr2	9
74	1	Rtr2	10
75	1	Rtr2	13
76	1	Rtr2	9
77	1	Rtr2	8
78	1	Rtr2	7
79	1	Rtr2	10
80	1	Rtr2	10
81	1	Rtr2	7
82	1	Rtr2	10
83	1	Rtr2	7
84	1	Rtr2	10
85	1	Rtr2	8
86	1	Rtr2	11
87	1	Rtr2	421
88	1	Rtr2	834
89	1	Rtr2	843
90	1	Rtr2	842
91	1	Rtr2	431
92	1	Rtr2	14
